Subject,StartDate,StartTime,EndDate,EndTime,All day event,Description,Location
Welpenweekend,5/4/2019,10:00 AM,7/4/2018,14:00 PM,FALSE,De welpen gaan op weekend. Afspraak aan het lokaal.,Lokaal
Wereld op uw taloor-festijn,13/4/2019,12:00 PM,14/4/2018,12:00 PM,TRUE,Kom smullen op ons jaarlijkse eetfestijn!,Lokaal
